,index,STATION,DIVISION,DATETIME,HOUR,WEEKDAY,dow,UNIQUEID,ENTRYDIFF,EXITDIFF,TRAFFIC,DURATION,AVG_TRAFFIC
45,19543,JAY ST-METROTEC,BMT,2018-05-13 00:00:00,2,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-01,15.0,28.0,43.0,4.0,10.75
46,19544,JAY ST-METROTEC,BMT,2018-05-13 04:00:00,6,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-01,6.0,6.0,12.0,4.0,3.0
47,19545,JAY ST-METROTEC,BMT,2018-05-13 08:00:00,10,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-01,4.0,7.0,11.0,4.0,2.75
48,19546,JAY ST-METROTEC,BMT,2018-05-13 12:00:00,14,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-01,7.0,26.0,33.0,4.0,8.25
49,19547,JAY ST-METROTEC,BMT,2018-05-13 16:00:00,18,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-01,41.0,58.0,99.0,4.0,24.75
50,19548,JAY ST-METROTEC,BMT,2018-05-13 20:00:00,22,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-01,28.0,43.0,71.0,4.0,17.75
51,19549,JAY ST-METROTEC,BMT,2018-05-14 00:00:00,2,Monday,0,JAY ST-METROTEC_R089_C003_00-00-01,15.0,22.0,37.0,4.0,9.25
52,19550,JAY ST-METROTEC,BMT,2018-05-14 04:00:00,6,Monday,0,JAY ST-METROTEC_R089_C003_00-00-01,3.0,6.0,9.0,4.0,2.25
53,19551,JAY ST-METROTEC,BMT,2018-05-14 08:00:00,10,Monday,0,JAY ST-METROTEC_R089_C003_00-00-01,7.0,34.0,41.0,4.0,10.25
54,19552,JAY ST-METROTEC,BMT,2018-05-14 12:00:00,14,Monday,0,JAY ST-METROTEC_R089_C003_00-00-01,86.0,274.0,360.0,4.0,90.0
55,19553,JAY ST-METROTEC,BMT,2018-05-14 16:00:00,18,Monday,0,JAY ST-METROTEC_R089_C003_00-00-01,189.0,128.0,317.0,4.0,79.25
56,19554,JAY ST-METROTEC,BMT,2018-05-14 20:00:00,22,Monday,0,JAY ST-METROTEC_R089_C003_00-00-01,255.0,86.0,341.0,4.0,85.25
57,19555,JAY ST-METROTEC,BMT,2018-05-15 00:00:00,2,Tuesday,1,JAY ST-METROTEC_R089_C003_00-00-01,80.0,26.0,106.0,4.0,26.5
58,19556,JAY ST-METROTEC,BMT,2018-05-15 04:00:00,6,Tuesday,1,JAY ST-METROTEC_R089_C003_00-00-01,3.0,3.0,6.0,4.0,1.5
59,19557,JAY ST-METROTEC,BMT,2018-05-15 08:00:00,10,Tuesday,1,JAY ST-METROTEC_R089_C003_00-00-01,19.0,55.0,74.0,4.0,18.5
60,19558,JAY ST-METROTEC,BMT,2018-05-15 12:00:00,14,Tuesday,1,JAY ST-METROTEC_R089_C003_00-00-01,92.0,247.0,339.0,4.0,84.75
61,19559,JAY ST-METROTEC,BMT,2018-05-15 16:00:00,18,Tuesday,1,JAY ST-METROTEC_R089_C003_00-00-01,173.0,131.0,304.0,4.0,76.0
62,19560,JAY ST-METROTEC,BMT,2018-05-15 20:00:00,22,Tuesday,1,JAY ST-METROTEC_R089_C003_00-00-01,270.0,107.0,377.0,4.0,94.25
63,19561,JAY ST-METROTEC,BMT,2018-05-16 00:00:00,2,Wednesday,2,JAY ST-METROTEC_R089_C003_00-00-01,72.0,35.0,107.0,4.0,26.75
64,19563,JAY ST-METROTEC,BMT,2018-05-16 08:00:00,10,Wednesday,2,JAY ST-METROTEC_R089_C003_00-00-01,13.0,41.0,54.0,8.0,6.75
65,19564,JAY ST-METROTEC,BMT,2018-05-16 12:00:00,14,Wednesday,2,JAY ST-METROTEC_R089_C003_00-00-01,92.0,229.0,321.0,4.0,80.25
66,19565,JAY ST-METROTEC,BMT,2018-05-16 16:00:00,18,Wednesday,2,JAY ST-METROTEC_R089_C003_00-00-01,140.0,117.0,257.0,4.0,64.25
67,19566,JAY ST-METROTEC,BMT,2018-05-16 20:00:00,22,Wednesday,2,JAY ST-METROTEC_R089_C003_00-00-01,224.0,86.0,310.0,4.0,77.5
68,19567,JAY ST-METROTEC,BMT,2018-05-17 00:00:00,2,Thursday,3,JAY ST-METROTEC_R089_C003_00-00-01,60.0,30.0,90.0,4.0,22.5
69,19568,JAY ST-METROTEC,BMT,2018-05-17 04:00:00,6,Thursday,3,JAY ST-METROTEC_R089_C003_00-00-01,4.0,1.0,5.0,4.0,1.25
70,19569,JAY ST-METROTEC,BMT,2018-05-17 08:00:00,10,Thursday,3,JAY ST-METROTEC_R089_C003_00-00-01,7.0,52.0,59.0,4.0,14.75
71,19570,JAY ST-METROTEC,BMT,2018-05-17 12:00:00,14,Thursday,3,JAY ST-METROTEC_R089_C003_00-00-01,78.0,202.0,280.0,4.0,70.0
72,19571,JAY ST-METROTEC,BMT,2018-05-17 16:00:00,18,Thursday,3,JAY ST-METROTEC_R089_C003_00-00-01,169.0,122.0,291.0,4.0,72.75
73,19572,JAY ST-METROTEC,BMT,2018-05-17 20:00:00,22,Thursday,3,JAY ST-METROTEC_R089_C003_00-00-01,233.0,105.0,338.0,4.0,84.5
74,19573,JAY ST-METROTEC,BMT,2018-05-18 00:00:00,2,Friday,4,JAY ST-METROTEC_R089_C003_00-00-01,62.0,35.0,97.0,4.0,24.25
75,19574,JAY ST-METROTEC,BMT,2018-05-18 04:00:00,6,Friday,4,JAY ST-METROTEC_R089_C003_00-00-01,5.0,3.0,8.0,4.0,2.0
76,19575,JAY ST-METROTEC,BMT,2018-05-18 08:00:00,10,Friday,4,JAY ST-METROTEC_R089_C003_00-00-01,8.0,35.0,43.0,4.0,10.75
77,19576,JAY ST-METROTEC,BMT,2018-05-18 12:00:00,14,Friday,4,JAY ST-METROTEC_R089_C003_00-00-01,43.0,191.0,234.0,4.0,58.5
